sample,dataset,type,rotation,bits,dims,recall10,recall100,recall10in100
1m,emb_siglip2,BFloat16,original,5,1152,0.75,0.7255,1.0
1m,emb_siglip2,BFloat16,original,6,128,0.465,0.3905,0.805
1m,emb_siglip2,BFloat16,original,6,256,0.58,0.564,0.945
1m,emb_siglip2,BFloat16,original,6,384,0.695,0.6345,0.98
1m,emb_siglip2,BFloat16,original,6,512,0.73,0.6785,0.995
1m,emb_siglip2,BFloat16,original,6,640,0.755,0.713,1.0
1m,emb_siglip2,BFloat16,original,6,768,0.77,0.742,1.0
1m,emb_siglip2,BFloat16,original,6,896,0.77,0.7615,1.0
1m,emb_siglip2,BFloat16,original,6,1024,0.81,0.784,1.0
1m,emb_siglip2,BFloat16,original,6,1152,0.815,0.7965,1.0
1m,emb_siglip2,BFloat16,original,7,128,0.45,0.384,0.78
1m,emb_siglip2,BFloat16,original,7,256,0.555,0.556,0.925
1m,emb_siglip2,BFloat16,original,7,384,0.655,0.626,0.955
1m,emb_siglip2,BFloat16,original,7,512,0.63,0.622,0.96
1m,emb_siglip2,BFloat16,original,7,640,0.685,0.6635,0.975
1m,emb_siglip2,BFloat16,original,7,768,0.7,0.6975,0.97
1m,emb_siglip2,BFloat16,original,7,896,0.7,0.72,0.975
1m,emb_siglip2,BFloat16,original,7,1024,0.705,0.7225,0.99
1m,emb_siglip2,BFloat16,original,7,1152,0.71,0.7315,0.99
1m,emb_siglip2,BFloat16,original,8,128,0.075,0.0565,0.115
1m,emb_siglip2,BFloat16,original,8,256,0.155,0.1215,0.245
1m,emb_siglip2,BFloat16,original,8,384,0.225,0.1925,0.395
1m,emb_siglip2,BFloat16,original,8,512,0.165,0.14,0.265
1m,emb_siglip2,BFloat16,original,8,640,0.26,0.194,0.385
1m,emb_siglip2,BFloat16,original,8,768,0.275,0.2275,0.52
1m,emb_siglip2,BFloat16,original,8,896,0.385,0.2855,0.665
1m,emb_siglip2,BFloat16,original,8,1024,0.48,0.343,0.76
1m,emb_siglip2,BFloat16,original,8,1152,0.55,0.4055,0.87
1m,emb_siglip2,BFloat16,original,9,128,0.385,0.2965,0.73
1m,emb_siglip2,BFloat16,original,9,256,0.585,0.464,0.9
1m,emb_siglip2,BFloat16,original,9,384,0.645,0.57,0.97
1m,emb_siglip2,BFloat16,original,9,512,0.68,0.5665,0.96
1m,emb_siglip2,BFloat16,original,9,640,0.76,0.6485,0.99
1m,emb_siglip2,BFloat16,original,9,768,0.775,0.695,1.0
1m,emb_siglip2,BFloat16,original,9,896,0.79,0.7505,1.0
1m,emb_siglip2,BFloat16,original,9,1024,0.85,0.793,1.0
1m,emb_siglip2,BFloat16,original,9,1152,0.865,0.8295,1.0
1m,emb_siglip2,BFloat16,original,10,128,0.55,0.4685,0.885
1m,emb_siglip2,BFloat16,original,10,256,0.695,0.646,0.98
1m,emb_siglip2,BFloat16,original,10,384,0.73,0.7075,0.99
1m,emb_siglip2,BFloat16,original,10,512,0.77,0.755,0.99
1m,emb_siglip2,BFloat16,original,10,640,0.82,0.797,0.99
1m,emb_siglip2,BFloat16,original,10,768,0.84,0.8325,0.99
1m,emb_siglip2,BFloat16,original,10,896,0.855,0.867,1.0
1m,emb_siglip2,BFloat16,original,10,1024,0.87,0.8895,1.0
1m,emb_siglip2,BFloat16,original,10,1152,0.9,0.9125,1.0
1m,emb_siglip2,BFloat16,original,11,128,0.57,0.477,0.91
1m,emb_siglip2,BFloat16,original,11,256,0.69,0.6485,0.985
1m,emb_siglip2,BFloat16,original,11,384,0.735,0.713,0.995
1m,emb_siglip2,BFloat16,original,11,512,0.795,0.7555,0.995
1m,emb_siglip2,BFloat16,original,11,640,0.83,0.8005,1.0
1m,emb_siglip2,BFloat16,original,11,768,0.855,0.84,1.0
1m,emb_siglip2,BFloat16,original,11,896,0.885,0.883,1.0
1m,emb_siglip2,BFloat16,original,11,1024,0.92,0.914,1.0
1m,emb_siglip2,BFloat16,original,11,1152,0.94,0.944,1.0
1m,emb_siglip2,BFloat16,original,12,128,0.55,0.4835,0.92
1m,emb_siglip2,BFloat16,original,12,256,0.69,0.6485,0.995
1m,emb_siglip2,BFloat16,original,12,384,0.745,0.715,0.995
1m,emb_siglip2,BFloat16,original,12,512,0.805,0.766,1.0
1m,emb_siglip2,BFloat16,original,12,640,0.845,0.807,1.0
1m,emb_siglip2,BFloat16,original,12,768,0.87,0.85,1.0
1m,emb_siglip2,BFloat16,original,12,896,0.895,0.8935,1.0
1m,emb_siglip2,BFloat16,original,12,1024,0.935,0.9315,1.0
1m,emb_siglip2,BFloat16,original,12,1152,0.97,0.973,1.0
1m,emb_siglip2,BFloat16,original,13,128,0.56,0.482,0.905
1m,emb_siglip2,BFloat16,original,13,256,0.675,0.6495,0.99
1m,emb_siglip2,BFloat16,original,13,384,0.755,0.7205,0.995
1m,emb_siglip2,BFloat16,original,13,512,0.805,0.7645,1.0
1m,emb_siglip2,BFloat16,original,13,640,0.82,0.8115,1.0
1m,emb_siglip2,BFloat16,original,13,768,0.87,0.8525,1.0
1m,emb_siglip2,BFloat16,original,13,896,0.91,0.895,1.0
1m,emb_siglip2,BFloat16,original,13,1024,0.955,0.9365,1.0
1m,emb_siglip2,BFloat16,original,13,1152,0.99,0.9865,1.0
1m,emb_siglip2,BFloat16,original,14,128,0.54,0.479,0.905
1m,emb_siglip2,BFloat16,original,14,256,0.68,0.65,0.99
1m,emb_siglip2,BFloat16,original,14,384,0.755,0.7215,0.995
1m,emb_siglip2,BFloat16,original,14,512,0.805,0.766,1.0
1m,emb_siglip2,BFloat16,original,14,640,0.835,0.8105,1.0
1m,emb_siglip2,BFloat16,original,14,768,0.87,0.854,1.0
1m,emb_siglip2,BFloat16,original,14,896,0.91,0.896,1.0
1m,emb_siglip2,BFloat16,original,14,1024,0.95,0.9365,1.0
1m,emb_siglip2,BFloat16,original,14,1152,0.995,0.993,1.0
1m,emb_siglip2,BFloat16,original,15,128,0.545,0.478,0.905
1m,emb_siglip2,BFloat16,original,15,256,0.685,0.6485,0.99
1m,emb_siglip2,BFloat16,original,15,384,0.75,0.7205,0.995
1m,emb_siglip2,BFloat16,original,15,512,0.81,0.766,1.0
1m,emb_siglip2,BFloat16,original,15,640,0.83,0.811,1.0
1m,emb_siglip2,BFloat16,original,15,768,0.87,0.8525,1.0
1m,emb_siglip2,BFloat16,original,15,896,0.9,0.8965,1.0
1m,emb_siglip2,BFloat16,original,15,1024,0.955,0.937,1.0
1m,emb_siglip2,BFloat16,original,15,1152,0.995,0.9945,1.0
1m,emb_siglip2,BFloat16,original,16,128,0.54,0.479,0.905
1m,emb_siglip2,BFloat16,original,16,256,0.685,0.6485,0.99
1m,emb_siglip2,BFloat16,original,16,384,0.75,0.722,0.995
1m,emb_siglip2,BFloat16,original,16,512,0.8,0.765,1.0
1m,emb_siglip2,BFloat16,original,16,640,0.825,0.8125,1.0
1m,emb_siglip2,BFloat16,original,16,768,0.87,0.855,1.0
1m,emb_siglip2,BFloat16,original,16,896,0.905,0.896,1.0
1m,emb_siglip2,BFloat16,original,16,1024,0.96,0.939,1.0
1m,emb_siglip2,BFloat16,original,16,1152,1.0,1.0,1.0
1m,emb_siglip2,BFloat16,rotated,1,128,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,256,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,384,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,512,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,640,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,768,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,896,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,1024,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,1152,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,1280,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,1408,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,1536,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,1664,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,1792,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,1920,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,1,2048,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,128,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,256,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,384,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,512,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,640,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,768,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,896,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,1024,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,1152,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,1280,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,1408,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,1536,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,1664,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,1792,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,1920,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,2,2048,0.0,0.0,0.0
1m,emb_siglip2,BFloat16,rotated,3,128,0.31,0.252,0.61
1m,emb_siglip2,BFloat16,rotated,3,256,0.465,0.438,0.875
1m,emb_siglip2,BFloat16,rotated,3,384,0.59,0.5295,0.93
1m,emb_siglip2,BFloat16,rotated,3,512,0.64,0.594,0.96
1m,emb_siglip2,BFloat16,rotated,3,640,0.655,0.6405,0.99
1m,emb_siglip2,BFloat16,rotated,3,768,0.71,0.671,0.99
1m,emb_siglip2,BFloat16,rotated,3,896,0.73,0.695,0.99
1m,emb_siglip2,BFloat16,rotated,3,1024,0.72,0.729,0.995
1m,emb_siglip2,BFloat16,rotated,3,1152,0.725,0.731,1.0
1m,emb_siglip2,BFloat16,rotated,3,1280,0.74,0.7395,1.0
1m,emb_siglip2,BFloat16,rotated,3,1408,0.735,0.7525,1.0
1m,emb_siglip2,BFloat16,rotated,3,1536,0.755,0.7565,1.0
1m,emb_siglip2,BFloat16,rotated,3,1664,0.78,0.7665,1.0
1m,emb_siglip2,BFloat16,rotated,3,1792,0.775,0.7835,1.0
1m,emb_siglip2,BFloat16,rotated,3,1920,0.79,0.788,1.0
1m,emb_siglip2,BFloat16,rotated,3,2048,0.82,0.7975,1.0
1m,emb_siglip2,BFloat16,rotated,4,128,0.31,0.252,0.61
1m,emb_siglip2,BFloat16,rotated,4,256,0.465,0.438,0.875
1m,emb_siglip2,BFloat16,rotated,4,384,0.59,0.5295,0.93
1m,emb_siglip2,BFloat16,rotated,4,512,0.64,0.594,0.96
1m,emb_siglip2,BFloat16,rotated,4,640,0.655,0.6405,0.99
1m,emb_siglip2,BFloat16,rotated,4,768,0.71,0.671,0.99
1m,emb_siglip2,BFloat16,rotated,4,896,0.73,0.695,0.99
1m,emb_siglip2,BFloat16,rotated,4,1024,0.72,0.729,0.995
1m,emb_siglip2,BFloat16,rotated,4,1152,0.725,0.731,1.0
1m,emb_siglip2,BFloat16,rotated,4,1280,0.74,0.7395,1.0
1m,emb_siglip2,BFloat16,rotated,4,1408,0.735,0.7525,1.0
1m,emb_siglip2,BFloat16,rotated,4,1536,0.755,0.7565,1.0
1m,emb_siglip2,BFloat16,rotated,4,1664,0.78,0.7665,1.0
1m,emb_siglip2,BFloat16,rotated,4,1792,0.775,0.7835,1.0
1m,emb_siglip2,BFloat16,rotated,4,1920,0.79,0.788,1.0
1m,emb_siglip2,BFloat16,rotated,4,2048,0.82,0.7975,1.0
1m,emb_siglip2,BFloat16,rotated,5,128,0.295,0.2495,0.61
1m,emb_siglip2,BFloat16,rotated,5,256,0.465,0.4365,0.88
1m,emb_siglip2,BFloat16,rotated,5,384,0.585,0.532,0.93
1m,emb_siglip2,BFloat16,rotated,5,512,0.645,0.5955,0.96
1m,emb_siglip2,BFloat16,rotated,5,640,0.66,0.6405,0.995
1m,emb_siglip2,BFloat16,rotated,5,768,0.7,0.6685,0.99
1m,emb_siglip2,BFloat16,rotated,5,896,0.72,0.6945,0.99
1m,emb_siglip2,BFloat16,rotated,5,1024,0.73,0.7275,0.995
1m,emb_siglip2,BFloat16,rotated,5,1152,0.73,0.732,1.0
1m,emb_siglip2,BFloat16,rotated,5,1280,0.75,0.7415,1.0
1m,emb_siglip2,BFloat16,rotated,5,1408,0.74,0.7555,1.0
1m,emb_siglip2,BFloat16,rotated,5,1536,0.75,0.758,1.0
1m,emb_siglip2,BFloat16,rotated,5,1664,0.775,0.77,1.0
1m,emb_siglip2,BFloat16,rotated,5,1792,0.775,0.784,1.0
1m,emb_siglip2,BFloat16,rotated,5,1920,0.79,0.7885,1.0
1m,emb_siglip2,BFloat16,rotated,5,2048,0.805,0.7985,1.0
1m,emb_siglip2,BFloat16,rotated,6,128,0.42,0.3725,0.795
1m,emb_siglip2,BFloat16,rotated,6,256,0.615,0.547,0.95
1m,emb_siglip2,BFloat16,rotated,6,384,0.695,0.6315,0.98
1m,emb_siglip2,BFloat16,rotated,6,512,0.72,0.7075,0.985
1m,emb_siglip2,BFloat16,rotated,6,640,0.74,0.737,1.0
1m,emb_siglip2,BFloat16,rotated,6,768,0.79,0.7685,1.0
1m,emb_siglip2,BFloat16,rotated,6,896,0.805,0.784,1.0
1m,emb_siglip2,BFloat16,rotated,6,1024,0.82,0.807,1.0
1m,emb_siglip2,BFloat16,rotated,6,1152,0.8,0.811,1.0
1m,emb_siglip2,BFloat16,rotated,6,1280,0.825,0.8225,1.0
1m,emb_siglip2,BFloat16,rotated,6,1408,0.82,0.833,1.0
1m,emb_siglip2,BFloat16,rotated,6,1536,0.83,0.8375,1.0
1m,emb_siglip2,BFloat16,rotated,6,1664,0.83,0.8435,1.0
1m,emb_siglip2,BFloat16,rotated,6,1792,0.815,0.854,1.0
1m,emb_siglip2,BFloat16,rotated,6,1920,0.825,0.8615,1.0
1m,emb_siglip2,BFloat16,rotated,6,2048,0.845,0.8615,1.0
1m,emb_siglip2,BFloat16,rotated,7,128,0.43,0.374,0.795
1m,emb_siglip2,BFloat16,rotated,7,256,0.63,0.547,0.95
1m,emb_siglip2,BFloat16,rotated,7,384,0.7,0.636,0.975
1m,emb_siglip2,BFloat16,rotated,7,512,0.73,0.709,0.98
1m,emb_siglip2,BFloat16,rotated,7,640,0.75,0.7385,1.0
1m,emb_siglip2,BFloat16,rotated,7,768,0.795,0.7715,1.0
1m,emb_siglip2,BFloat16,rotated,7,896,0.815,0.788,1.0
1m,emb_siglip2,BFloat16,rotated,7,1024,0.82,0.81,1.0
1m,emb_siglip2,BFloat16,rotated,7,1152,0.8,0.813,1.0
1m,emb_siglip2,BFloat16,rotated,7,1280,0.82,0.8235,1.0
1m,emb_siglip2,BFloat16,rotated,7,1408,0.825,0.8355,1.0
1m,emb_siglip2,BFloat16,rotated,7,1536,0.835,0.8405,1.0
1m,emb_siglip2,BFloat16,rotated,7,1664,0.84,0.842,1.0
1m,emb_siglip2,BFloat16,rotated,7,1792,0.815,0.855,1.0
1m,emb_siglip2,BFloat16,rotated,7,1920,0.835,0.8595,1.0
1m,emb_siglip2,BFloat16,rotated,7,2048,0.85,0.8665,1.0
1m,emb_siglip2,BFloat16,rotated,8,128,0.445,0.413,0.8
1m,emb_siglip2,BFloat16,rotated,8,256,0.625,0.591,0.975
1m,emb_siglip2,BFloat16,rotated,8,384,0.71,0.6595,0.995
1m,emb_siglip2,BFloat16,rotated,8,512,0.73,0.7265,0.995
1m,emb_siglip2,BFloat16,rotated,8,640,0.785,0.769,1.0
1m,emb_siglip2,BFloat16,rotated,8,768,0.815,0.7965,1.0
1m,emb_siglip2,BFloat16,rotated,8,896,0.845,0.81,1.0
1m,emb_siglip2,BFloat16,rotated,8,1024,0.865,0.839,1.0
1m,emb_siglip2,BFloat16,rotated,8,1152,0.855,0.8385,1.0
1m,emb_siglip2,BFloat16,rotated,8,1280,0.865,0.848,1.0
1m,emb_siglip2,BFloat16,rotated,8,1408,0.89,0.8545,1.0
1m,emb_siglip2,BFloat16,rotated,8,1536,0.885,0.862,1.0
1m,emb_siglip2,BFloat16,rotated,8,1664,0.885,0.864,1.0
1m,emb_siglip2,BFloat16,rotated,8,1792,0.895,0.8725,1.0
1m,emb_siglip2,BFloat16,rotated,8,1920,0.905,0.8835,1.0
1m,emb_siglip2,BFloat16,rotated,8,2048,0.91,0.8935,1.0
1m,emb_siglip2,BFloat16,rotated,9,128,0.545,0.495,0.87
1m,emb_siglip2,BFloat16,rotated,9,256,0.72,0.66,0.995
1m,emb_siglip2,BFloat16,rotated,9,384,0.775,0.7235,1.0
1m,emb_siglip2,BFloat16,rotated,9,512,0.82,0.792,0.995
1m,emb_siglip2,BFloat16,rotated,9,640,0.845,0.83,1.0
1m,emb_siglip2,BFloat16,rotated,9,768,0.87,0.8495,1.0
1m,emb_siglip2,BFloat16,rotated,9,896,0.885,0.8675,1.0
1m,emb_siglip2,BFloat16,rotated,9,1024,0.91,0.8885,1.0
1m,emb_siglip2,BFloat16,rotated,9,1152,0.915,0.89,1.0
1m,emb_siglip2,BFloat16,rotated,9,1280,0.93,0.8955,1.0
1m,emb_siglip2,BFloat16,rotated,9,1408,0.925,0.903,1.0
1m,emb_siglip2,BFloat16,rotated,9,1536,0.92,0.913,1.0
1m,emb_siglip2,BFloat16,rotated,9,1664,0.92,0.912,1.0
1m,emb_siglip2,BFloat16,rotated,9,1792,0.935,0.9225,1.0
1m,emb_siglip2,BFloat16,rotated,9,1920,0.93,0.9295,1.0
1m,emb_siglip2,BFloat16,rotated,9,2048,0.94,0.9375,1.0
1m,emb_siglip2,BFloat16,rotated,10,128,0.585,0.523,0.895
1m,emb_siglip2,BFloat16,rotated,10,256,0.74,0.6795,0.995
1m,emb_siglip2,BFloat16,rotated,10,384,0.78,0.7465,1.0
1m,emb_siglip2,BFloat16,rotated,10,512,0.825,0.8095,1.0
1m,emb_siglip2,BFloat16,rotated,10,640,0.88,0.8455,1.0
1m,emb_siglip2,BFloat16,rotated,10,768,0.91,0.876,1.0
1m,emb_siglip2,BFloat16,rotated,10,896,0.9,0.8895,1.0
1m,emb_siglip2,BFloat16,rotated,10,1024,0.9,0.919,1.0
1m,emb_siglip2,BFloat16,rotated,10,1152,0.9,0.9105,1.0
1m,emb_siglip2,BFloat16,rotated,10,1280,0.9,0.9145,1.0
1m,emb_siglip2,BFloat16,rotated,10,1408,0.925,0.9255,1.0
1m,emb_siglip2,BFloat16,rotated,10,1536,0.94,0.9295,1.0
1m,emb_siglip2,BFloat16,rotated,10,1664,0.93,0.937,1.0
1m,emb_siglip2,BFloat16,rotated,10,1792,0.955,0.943,1.0
1m,emb_siglip2,BFloat16,rotated,10,1920,0.97,0.952,1.0
1m,emb_siglip2,BFloat16,rotated,10,2048,0.97,0.967,1.0
1m,emb_siglip2,BFloat16,rotated,11,128,0.6,0.528,0.915
1m,emb_siglip2,BFloat16,rotated,11,256,0.745,0.6845,0.99
1m,emb_siglip2,BFloat16,rotated,11,384,0.805,0.7565,1.0
1m,emb_siglip2,BFloat16,rotated,11,512,0.835,0.812,1.0
1m,emb_siglip2,BFloat16,rotated,11,640,0.87,0.8545,1.0
1m,emb_siglip2,BFloat16,rotated,11,768,0.9,0.876,1.0
1m,emb_siglip2,BFloat16,rotated,11,896,0.905,0.892,1.0
1m,emb_siglip2,BFloat16,rotated,11,1024,0.905,0.926,1.0
1m,emb_siglip2,BFloat16,rotated,11,1152,0.9,0.9175,1.0
1m,emb_siglip2,BFloat16,rotated,11,1280,0.92,0.919,1.0
1m,emb_siglip2,BFloat16,rotated,11,1408,0.93,0.9335,1.0
1m,emb_siglip2,BFloat16,rotated,11,1536,0.925,0.937,1.0
1m,emb_siglip2,BFloat16,rotated,11,1664,0.94,0.943,1.0
1m,emb_siglip2,BFloat16,rotated,11,1792,0.95,0.952,1.0
1m,emb_siglip2,BFloat16,rotated,11,1920,0.965,0.962,1.0
1m,emb_siglip2,BFloat16,rotated,11,2048,0.975,0.9805,1.0
1m,emb_siglip2,BFloat16,rotated,12,128,0.615,0.5345,0.915
1m,emb_siglip2,BFloat16,rotated,12,256,0.76,0.6925,1.0
1m,emb_siglip2,BFloat16,rotated,12,384,0.795,0.7615,1.0
1m,emb_siglip2,BFloat16,rotated,12,512,0.84,0.8205,1.0
1m,emb_siglip2,BFloat16,rotated,12,640,0.88,0.8555,1.0
1m,emb_siglip2,BFloat16,rotated,12,768,0.9,0.8795,1.0
1m,emb_siglip2,BFloat16,rotated,12,896,0.905,0.8955,1.0
1m,emb_siglip2,BFloat16,rotated,12,1024,0.92,0.9265,1.0
1m,emb_siglip2,BFloat16,rotated,12,1152,0.91,0.9175,1.0
1m,emb_siglip2,BFloat16,rotated,12,1280,0.92,0.9265,1.0
1m,emb_siglip2,BFloat16,rotated,12,1408,0.925,0.933,1.0
1m,emb_siglip2,BFloat16,rotated,12,1536,0.94,0.936,1.0
1m,emb_siglip2,BFloat16,rotated,12,1664,0.94,0.9465,1.0
1m,emb_siglip2,BFloat16,rotated,12,1792,0.96,0.9515,1.0
1m,emb_siglip2,BFloat16,rotated,12,1920,0.975,0.9645,1.0
1m,emb_siglip2,BFloat16,rotated,12,2048,0.985,0.991,1.0
1m,emb_siglip2,BFloat16,rotated,13,128,0.625,0.5355,0.91
1m,emb_siglip2,BFloat16,rotated,13,256,0.765,0.693,1.0
1m,emb_siglip2,BFloat16,rotated,13,384,0.795,0.763,1.0
1m,emb_siglip2,BFloat16,rotated,13,512,0.845,0.8175,1.0
1m,emb_siglip2,BFloat16,rotated,13,640,0.89,0.8585,1.0
1m,emb_siglip2,BFloat16,rotated,13,768,0.9,0.879,1.0
1m,emb_siglip2,BFloat16,rotated,13,896,0.905,0.897,1.0
1m,emb_siglip2,BFloat16,rotated,13,1024,0.92,0.928,1.0
1m,emb_siglip2,BFloat16,rotated,13,1152,0.905,0.9185,1.0
1m,emb_siglip2,BFloat16,rotated,13,1280,0.91,0.927,1.0
1m,emb_siglip2,BFloat16,rotated,13,1408,0.93,0.935,1.0
1m,emb_siglip2,BFloat16,rotated,13,1536,0.94,0.9375,1.0
1m,emb_siglip2,BFloat16,rotated,13,1664,0.95,0.9465,1.0
1m,emb_siglip2,BFloat16,rotated,13,1792,0.96,0.9545,1.0
1m,emb_siglip2,BFloat16,rotated,13,1920,0.98,0.968,1.0
1m,emb_siglip2,BFloat16,rotated,13,2048,0.985,0.996,1.0
1m,emb_siglip2,BFloat16,rotated,14,128,0.625,0.5325,0.91
1m,emb_siglip2,BFloat16,rotated,14,256,0.77,0.695,1.0
1m,emb_siglip2,BFloat16,rotated,14,384,0.805,0.7625,1.0
1m,emb_siglip2,BFloat16,rotated,14,512,0.845,0.817,1.0
1m,emb_siglip2,BFloat16,rotated,14,640,0.885,0.858,1.0
1m,emb_siglip2,BFloat16,rotated,14,768,0.915,0.8805,1.0
1m,emb_siglip2,BFloat16,rotated,14,896,0.905,0.896,1.0
1m,emb_siglip2,BFloat16,rotated,14,1024,0.92,0.9275,1.0
1m,emb_siglip2,BFloat16,rotated,14,1152,0.91,0.918,1.0
1m,emb_siglip2,BFloat16,rotated,14,1280,0.915,0.9265,1.0
1m,emb_siglip2,BFloat16,rotated,14,1408,0.93,0.9355,1.0
1m,emb_siglip2,BFloat16,rotated,14,1536,0.94,0.9385,1.0
1m,emb_siglip2,BFloat16,rotated,14,1664,0.945,0.946,1.0
1m,emb_siglip2,BFloat16,rotated,14,1792,0.955,0.9545,1.0
1m,emb_siglip2,BFloat16,rotated,14,1920,0.975,0.9685,1.0
1m,emb_siglip2,BFloat16,rotated,14,2048,0.99,0.9985,1.0
1m,emb_siglip2,BFloat16,rotated,15,128,0.62,0.532,0.915
1m,emb_siglip2,BFloat16,rotated,15,256,0.77,0.696,1.0
1m,emb_siglip2,BFloat16,rotated,15,384,0.805,0.7615,1.0
1m,emb_siglip2,BFloat16,rotated,15,512,0.84,0.8185,1.0
1m,emb_siglip2,BFloat16,rotated,15,640,0.885,0.857,1.0
1m,emb_siglip2,BFloat16,rotated,15,768,0.915,0.88,1.0
1m,emb_siglip2,BFloat16,rotated,15,896,0.905,0.8965,1.0
1m,emb_siglip2,BFloat16,rotated,15,1024,0.92,0.928,1.0
1m,emb_siglip2,BFloat16,rotated,15,1152,0.91,0.9175,1.0
1m,emb_siglip2,BFloat16,rotated,15,1280,0.92,0.927,1.0
1m,emb_siglip2,BFloat16,rotated,15,1408,0.925,0.935,1.0
1m,emb_siglip2,BFloat16,rotated,15,1536,0.945,0.9385,1.0
1m,emb_siglip2,BFloat16,rotated,15,1664,0.945,0.9455,1.0
1m,emb_siglip2,BFloat16,rotated,15,1792,0.955,0.9555,1.0
1m,emb_siglip2,BFloat16,rotated,15,1920,0.975,0.968,1.0
1m,emb_siglip2,BFloat16,rotated,15,2048,0.99,0.9995,1.0
1m,emb_siglip2,BFloat16,rotated,16,128,0.62,0.5325,0.915
1m,emb_siglip2,BFloat16,rotated,16,256,0.77,0.695,1.0
1m,emb_siglip2,BFloat16,rotated,16,384,0.805,0.762,1.0
1m,emb_siglip2,BFloat16,rotated,16,512,0.84,0.817,1.0
1m,emb_siglip2,BFloat16,rotated,16,640,0.89,0.8565,1.0
1m,emb_siglip2,BFloat16,rotated,16,768,0.915,0.88,1.0
1m,emb_siglip2,BFloat16,rotated,16,896,0.91,0.8965,1.0
1m,emb_siglip2,BFloat16,rotated,16,1024,0.92,0.928,1.0
1m,emb_siglip2,BFloat16,rotated,16,1152,0.91,0.918,1.0
1m,emb_siglip2,BFloat16,rotated,16,1280,0.92,0.9265,1.0
1m,emb_siglip2,BFloat16,rotated,16,1408,0.925,0.935,1.0
1m,emb_siglip2,BFloat16,rotated,16,1536,0.945,0.9375,1.0
1m,emb_siglip2,BFloat16,rotated,16,1664,0.945,0.9455,1.0
1m,emb_siglip2,BFloat16,rotated,16,1792,0.955,0.9555,1.0
1m,emb_siglip2,BFloat16,rotated,16,1920,0.975,0.9685,1.0
1m,emb_siglip2,BFloat16,rotated,16,2048,1.0,0.999,1.0
1m,emb_siglip2,Int8,original,1,128,0.375,0.3165,0.75
1m,emb_siglip2,Int8,original,1,256,0.565,0.489,0.91
1m,emb_siglip2,Int8,original,1,384,0.615,0.557,0.98
1m,emb_siglip2,Int8,original,1,512,0.665,0.603,0.98
1m,emb_siglip2,Int8,original,1,640,0.67,0.634,1.0
1m,emb_siglip2,Int8,original,1,768,0.705,0.6685,1.0
1m,emb_siglip2,Int8,original,1,896,0.72,0.689,1.0
1m,emb_siglip2,Int8,original,1,1024,0.75,0.7055,1.0
1m,emb_siglip2,Int8,original,1,1152,0.76,0.7265,1.0
1m,emb_siglip2,Int8,original,2,128,0.49,0.4375,0.915
1m,emb_siglip2,Int8,original,2,256,0.635,0.6095,0.985
1m,emb_siglip2,Int8,original,2,384,0.695,0.67,1.0
1m,emb_siglip2,Int8,original,2,512,0.75,0.717,1.0
1m,emb_siglip2,Int8,original,2,640,0.795,0.747,1.0
1m,emb_siglip2,Int8,original,2,768,0.82,0.781,1.0
1m,emb_siglip2,Int8,original,2,896,0.83,0.8035,1.0
1m,emb_siglip2,Int8,original,2,1024,0.84,0.8175,1.0
1m,emb_siglip2,Int8,original,2,1152,0.85,0.832,1.0
1m,emb_siglip2,Int8,original,3,128,0.5,0.442,0.88
