sample,dataset,type,rotation,bits,dims,recall10,recall100,recall10in100
100k,emb_clip,Int8,original,4,256,0.6,0.5865,0.935
100k,emb_clip,Int8,original,4,384,0.645,0.6765,0.995
100k,emb_clip,Int8,original,4,512,0.785,0.782,1.0
100k,emb_clip,Int8,original,4,640,0.84,0.8095,1.0
100k,emb_clip,Int8,original,4,768,0.885,0.878,1.0
100k,emb_clip,Int8,original,5,128,0.485,0.442,0.835
100k,emb_clip,Int8,original,5,256,0.6,0.5905,0.945
100k,emb_clip,Int8,original,5,384,0.66,0.682,0.995
100k,emb_clip,Int8,original,5,512,0.795,0.789,1.0
100k,emb_clip,Int8,original,5,640,0.85,0.821,1.0
100k,emb_clip,Int8,original,5,768,0.905,0.898,1.0
100k,emb_clip,Int8,original,6,128,0.49,0.445,0.825
100k,emb_clip,Int8,original,6,256,0.6,0.5885,0.95
100k,emb_clip,Int8,original,6,384,0.655,0.681,0.995
100k,emb_clip,Int8,original,6,512,0.805,0.7935,1.0
100k,emb_clip,Int8,original,6,640,0.87,0.8215,1.0
100k,emb_clip,Int8,original,6,768,0.915,0.906,1.0
100k,emb_clip,Int8,original,7,128,0.495,0.4445,0.835
100k,emb_clip,Int8,original,7,256,0.6,0.5885,0.95
100k,emb_clip,Int8,original,7,384,0.66,0.683,0.995
100k,emb_clip,Int8,original,7,512,0.805,0.795,1.0
100k,emb_clip,Int8,original,7,640,0.865,0.825,1.0
100k,emb_clip,Int8,original,7,768,0.93,0.915,1.0
100k,emb_clip,Int8,original,8,128,0.495,0.4455,0.84
100k,emb_clip,Int8,original,8,256,0.595,0.587,0.95
100k,emb_clip,Int8,original,8,384,0.65,0.6845,0.995
100k,emb_clip,Int8,original,8,512,0.81,0.801,1.0
100k,emb_clip,Int8,original,8,640,0.86,0.8295,1.0
100k,emb_clip,Int8,original,8,768,0.935,0.916,1.0
100k,emb_clip,Int8,rotated,1,128,0.2,0.2665,0.625
100k,emb_clip,Int8,rotated,1,256,0.41,0.45,0.81
100k,emb_clip,Int8,rotated,1,384,0.465,0.547,0.91
100k,emb_clip,Int8,rotated,1,512,0.55,0.6125,0.96
100k,emb_clip,Int8,rotated,1,640,0.585,0.6585,0.975
100k,emb_clip,Int8,rotated,1,768,0.65,0.687,0.995
100k,emb_clip,Int8,rotated,2,128,0.37,0.45,0.855
100k,emb_clip,Int8,rotated,2,256,0.59,0.6175,0.96
100k,emb_clip,Int8,rotated,2,384,0.715,0.6965,0.99
100k,emb_clip,Int8,rotated,2,512,0.75,0.756,0.99
100k,emb_clip,Int8,rotated,2,640,0.8,0.8045,1.0
100k,emb_clip,Int8,rotated,2,768,0.805,0.839,1.0
100k,emb_clip,Int8,rotated,3,128,0.5,0.5075,0.9
100k,emb_clip,Int8,rotated,3,256,0.67,0.688,0.99
100k,emb_clip,Int8,rotated,3,384,0.76,0.7615,0.995
100k,emb_clip,Int8,rotated,3,512,0.81,0.817,1.0
